id,question,option1,option2,option3,option4,correctAnswer,category
1,"Which ancient civilization is credited with creating the first known star catalog?",Babylonians,Egyptians,Greeks,Chinese,0,Star Catalogs
2,"What did ancient Babylonians call the planet Venus?",Ishtar,Marduk,Shamash,Sin,0,Planets
3,"Who proposed the geocentric model of the universe?",Aristotle,Ptolemy,Both,Neither,2,Cosmic Models
4,"What astronomical phenomenon did ancient Chinese astronomers record in 1054 CE?",Solar eclipse,Supernova,Comet,Meteor shower,1,Observations
5,"Which ancient structure is aligned with the summer solstice sunrise?",Stonehenge,Great Pyramid,Angkor Wat,Machu Picchu,0,Architecture
6,"Who first proposed that Earth rotates on its axis?",Aristarchus,Heraclides,Pythagoras,Anaxagoras,1,Earth's Motion
7,"What did ancient Greeks call the Milky Way?",Galaxias,Via Lactea,River of Heaven,Star Path,0,Celestial Objects
8,"Which ancient astronomer calculated Earth's circumference with remarkable accuracy?",Eratosthenes,Hipparchus,Ptolemy,Thales,0,Measurements
9,"What astronomical tool did ancient Arabs perfect?",Telescope,Astrolabe,Quadrant,Sextant,1,Instruments
10,"Which planet did ancient Romans associate with their god of war?",Mars,Jupiter,Venus,Mercury,0,Mythology
11,"What did Aristarchus of Samos propose in the 3rd century BCE?",Geocentric model,Heliocentric model,Flat Earth,Multiple suns,1,Cosmic Models
12,"Which ancient civilization tracked Venus's cycles over 584 days?",Maya,Inca,Aztec,Olmec,0,Observations
13,"What celestial event did ancient astronomers use to create calendars?",Moon phases,Solar cycles,Star positions,All of the above,3,Calendars
14,"Who created the first comprehensive star catalog with 850 stars?",Ptolemy,Hipparchus,Aristotle,Thales,1,Star Catalogs
15,"What did ancient Egyptians align their pyramids with?",True north,Sunrise,Moon,Venus,0,Architecture
16,"Which ancient text contains detailed astronomical observations from Babylon?",Enuma Anu Enlil,Epic of Gilgamesh,Code of Hammurabi,Book of the Dead,0,Ancient Texts
17,"What did Anaxagoras correctly explain about the Moon?",Its phases,Its orbit,Its size,Its temperature,0,Moon Studies
18,"Which constellation did ancient Greeks name after a hunter?",Orion,Perseus,Hercules,Sagittarius,0,Constellations
19,"What astronomical cycle is approximately 18.6 years?",Solar cycle,Lunar nodal cycle,Precession,Saros cycle,1,Cycles
20,"Which ancient civilization created the zodiac?",Babylonians,Greeks,Egyptians,Chinese,0,Zodiac
21,"What did Thales of Miletus successfully predict in 585 BCE?",Lunar eclipse,Solar eclipse,Comet,Meteor shower,1,Predictions
22,"Which planet has the longest synodic period as observed from Earth?",Mars,Jupiter,Saturn,Venus,2,Planetary Motion
23,"What did ancient Indian astronomers call the ecliptic?",Rashichakra,Nakshatra,Graha,Bhachakra,0,Indian Astronomy
24,"Who measured the angle of Earth's axial tilt?",Eratosthenes,Hipparchus,Ptolemy,Aristarchus,0,Measurements
